Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
1,081521764;0,543748097;0,082171702;3,301350499;1,173702418;3,033254302;0,059140813;0,247938743;9,938443991;0,027496324;0,034832678;0,032500127;0
3,459309327;2,289787515;1,554157117;26,97208302;4,451444947;0,064848239;0,710924955;0,939100957;0,68736237;0,08917735;0,114291568;0,125140644;0
1,723305459;0,484283363;0,032006283;14,29967552;3,468822913;0,780788728;0,412576917;0,561548927;2,135687798;-0,73956708;0,080286727;0,020130397;0
1,400305978;1,398265876;0,379720366;0,665670764;0,478964595;2,654897088;0,222595777;0,273605515;19,36905433;0,061343706;0,069149875;-0,010388796;0
0,936820278;0,883736471;0,626816413;13,53580833;2,584168929;14,32125554;-35,04223124;0,065268802;5,513683878;0,481655799;0,61485237;0,73013343;0
1,16203282;0,725268542;0,044607006;2,715608083;1,637010115;26,39575475;0,03241691;0,036501985;5,747909355;0,133734677;0,169604671;0,075227789;1
1,006858876;0,476297892;0,025745564;5,393341629;2,755343816;145,7789284;0,006812973;0,006812973;4,687925991;0,496387283;0,620349187;0,000730213;0
0,817176761;0,484221346;0,136040113;0,238481959;0,113655264;-21,07495273;-0,298859455;-0,049813318;143,6135005;1,228313747;1,478490761;-0,087841982;0
1,579041895;0,223393786;0,001680022;10,91531694;1,713877082;2,440001482;0,266835682;0,290697549;4,862024476;-0,216059854;-0,258128079;0,081540701;0
0,612747797;0,58146194;0,540138761;12,55597091;1,048986195;-3,282242949;-2,442452511;-0,438165626;32,44688408;-0,002107492;-0,011557971;0,634493586;0
1,120135476;1,112014737;0,169612693;0,593733013;0,494389095;49,69767964;0,013574844;0,019724773;21,48391465;0,194668207;0,322945751;0,050653847;0
1,944512218;1,66133068;0,597697631;1,21763488;0,659435691;10,55499973;0,085090308;0,086542624;17,26863405;0,90915851;1,141140735;0,401313049;0
1,083132706;0,809776652;0,167837512;4,26547131;2,260887418;11,02957196;0,076752096;0,083128477;7,52015812;1,057143878;1,337809604;0,076637888;0
2,364264925;2,314302419;1,128191767;12,57738304;4,691189835;0,798436464;-0,204603856;0,556038548;1,118660093;0,287187418;0,355839741;0,127426691;1
1,020021458;0,484585841;0,260031721;17,02306183;5,284279185;17,53619873;0,018538505;0,053948414;3,071828122;0,100806232;0,279675328;0,010986395;0
0,480522922;0,317520807;0,000548614;4,568875593;2,007299698;-3,47828614;-1,423093603;-0,403504657;12,49634343;0,698249003;0,909804848;-0,355665978;0
1,008469642;0,982281927;0,249651849;1,266205648;0,92173572;118,0011451;0,008398509;0,00840328;24,95418633;0,043992747;0,056112224;-0,007683821;0
2,041238518;1,789516287;1,274415495;8,805430179;2,71087749;0,905887124;0,510101347;0,524690045;2,672890814;0,363247429;0,456375004;0,097506762;0
1,078399944;1,0381365;0,002714365;3,755963332;3,20960378;5,883823916;0,070434314;0,145268097;3,308736812;0,957183781;1,242823909;0,064582653;0
1,236274862;0,781915345;0,28730366;7,030260186;2,799382635;20,4295619;-0,002540625;0,04666451;4,304723895;0,627410409;0,703351822;-0,002326075;1
1,26156642;0,654549133;0,031633251;2,747109087;1,276300644;570,6119028;-0,882158587;0,001749436;6,679696101;-20,70410729;-20,70410729;0,051638808;0
1,013004635;1,000652495;0,558700817;3,966587739;1,818304329;65,20907127;0,01283823;0,015103679;7,306542348;0,365514759;0,504967603;0,001048685;0
1,028142711;0,754958624;0,005170467;5,576474174;3,323064537;34,93961297;0,027372378;0,027824451;3,775551013;-0,047260205;0,010016223;0,019187745;1
0,236792636;0,236412626;0,03417461;5,52404806;4,485878584;8,133710934;-14,22490546;0,109484525;8,53162414;0,100301442;0,1196421;0,225658013;0
1,131355098;0,247286335;0,05114652;11,78560195;2,001351769;-9,988238435;-0,178455315;-0,111256332;5,23773423;1,50007026;1,828494745;0,00674691;1
0,955493271;0,780869694;0,034236493;1,318423173;0,748096584;-20,02360309;-0,062479052;-0,052566278;12,44750043;-0,73956708;0,045338228;0,037375175;1
1,072702025;0,954406854;0,15726741;1,551484471;1,198232847;77,5572669;0,001230829;0,012729566;11,28024199;0,639182091;0,817876021;0,011095745;0
1,016704616;0,457576695;0,017006803;5,184400861;2,230601098;35,60663942;0,016430156;0,027317449;5,756407706;0,369255151;0,511385437;-0,021494429;1
1,004535918;1,004535918;0,265039439;3,459454061;1,967800626;191,6445211;0,004515437;0,005190908;8,318548884;3,597066437;4,496117343;0,004244489;1
